prompt,completion
"Jag kan inte skriva ut min fraktsedel när jag bokat med DHL?

###

", När du bokar frakt med DHL via Tradera så ska du inte skriva ut fraktsedeln utan du får istället ett sändningsnummer som du tar med till ombudet så skriver de ut fraktsedeln åt dig.Vill du läsa mer om fraktbokning med DHL på Tradera så kan du klicka här.###
"Frakttips

###

"," Se till att fraktkostnaden är rimlig. Försök inte tjäna pengar på frakten, det tjänar varken du eller köparen på. Objekt med höga fraktkostnader får färre bud och i slutändan ett lägre försäljningspris. Skriv ut villkor som fri frakt och spårbar försändelse även i annonsens objektsbeskrivning, detta gör att din annons sticker ut i mängden och lockar köpare. Köpare på Tradera tycker om att kunna välja mellan flera olika fraktsätt. Vill du att dina annonser ska bli populära – erbjud mer än ett fraktalternativ. Lägger du i ett visitkort med ditt alias där du tackar köparen för affären leder det ofta till att köparen bjuder på dina auktioner igen. Har du mer än en annons på Tradera? Om en och samma köpare väljer att köpa fler objekt från dig är det bra att erbjuda samfrakt. Då skickar du fler än ett köpt objekt i samma försändelse och köparen slipper betala dubbel frakt.Känner du dig osäker på vilket pris du ska ta, eller vilken speditör som passar bäst? Använd vår Fraktguide.Vill du ha tips på hur du bäst packar din försändelse? Kolla in våra packningstips här ###"
"Sälja inom EU - Hur bokar jag frakten

###

"," För frakt av ett objekt:Om du erbjuder DB Schenker, DHL eller PostNord som fraktsätt så fungerar både fraktbokning och betalning på samma sätt som för en köpare i Sverige.Detta innebär att fraktkostnaden justeras beroende på vilket land som köparen befinner sig i och den kommer automatiskt läggas på slutpriset på auktionen, så för dig som säljare blir hanteringen samma som när du säljer och skickar inom Sverige.För Samfrakt:Vid samfrakt så behöver du själv räkna fram fraktkostnaden för det land som försändelsen ska skickas till. Du kan använda vår fraktkalkylator för att räkna fram priset för det land som du ska skicka till.För andra fraktbolag så behöver du boka direkt via deras hemsida. Du kan läsa mer i vår fraktguide###"
"Ny checkout för fastpris och butiksannonser

###

"," Som en del av vårt arbete med en samfraktslösning så kommer vi förändra hur köp av fastpris- och butiksannonser fungerar. Vi lanserar idag ändringen av fastprisannonser och butiksannonser och samtliga användare på siten kommer att ha den nya checkouten från den 3 mars 2021 . Utöver att det är ett första steg i att förenkla samfrakt så innebär det också att man nu kan betala med Paynova på fastpris och butiksannonser.Tidigare har man behövt betala för annonsen direkt, något som försvårat för båda köpare och säljare i de fall man vill samfrakta. Därför har vi ändrat så att du först vinner varan genom att klicka på köp, sedan går du vidare till betalning.Detta innebär att i de fall du vill köpa fler varor av samma säljare har möjlighet att vänta med betalningen tills ni kommit överens om fraktpriset. ###"
"Hur lägger jag ett bud?

###

"," Gå till annonsen du vill köpa, skriv in beloppet du önskar lägga i rutan för bud. Det framgår i rutan vilket som är det lägsta möjliga budet. Klicka på ”Lägg bud” och sedan ”Bekräfta bud”.Blir du överbjuden får du ett mejl där du direkt kan höja ditt bud.Här kan du läsa mer om hur du handlar på Tradera.###"
"Jag kan inte välja Swish som betalningsmetod

###

"," Om du inte kan betala med Swish på en annons så beror det troligtvis på att säljaren inte har lagt till ett Swishnummer på Tradera.Du kan alltid fråga säljaren genom att gå in på annonsen och skicka ett meddelande. Klicka här för att komma till dina köpOm du får meddelandet ""Swish direkt till säljaren är inte tillgängligt för köp över ett visst belopp"" beror det på att vi på Tradera har begränsat Swish som betalningsmetod för att skydda dig som köpare. Välj istället ett tryggt betalsätt som har köparskydd.###"
"Vad innebär ”Kontot är avaktiverat av Tradera” på en annan medlems konto?

###

"," När texten anges på grå bakgrund kan kontot vara avaktiverat på grund av att medlemmen valt att avsluta kontot själv, att man har obetalda fakturor eller att kontot av andra orsaker bara är tillfälligt avaktiverat.När texten anges på röd bakgrund kan det bero på att medlemmen brutit mot Traderas regler, fått för många negativa omdömen eller att Tradera t ex inte kan verifiera personuppgifterna på kontot.Tradera kan aldrig lämna ut information om varför ett konto avaktiverats, däremot kan vi alltid ge råd och rekommendationer om huruvida du bör avsluta en affär eller inte.###"
"Hur registrerar jag ett konto på Tradera?

###

"," Klicka här eller på ”Bli medlem” inne på sajten för att registrera ett medlemskap.Det enda du behöver ha till hands är ditt personnummer, BankID, din e-postadress och ett alias. På Tradera kommer du utåt sett bli igenkänd via ditt alias.Välkommen!###"
"Vad kostar det att sälja på Tradera?

###

"," Försäljningsprovision10 % av försäljningspriset (minst 3 kr, max 200 kr*). Frivilliga tillvalHighlight    15 krRank up    45 krReservationspris    40 krEgenvald sluttid    10 krTillval debiteras för såld och osåld annons.*) Kategorin Domännamn har inget maxtak för provisionen OsåltavgiftHar du haft fler än 100 upplagda (sålda och osålda) annonser under en faktureringsperiod (första till sista i månaden) debiteras 3-10 kronor per osåld annons (beroende på vilken kategori du säljer i) från och med annons nummer 101. Omstartade annonser och automatiska repetitioner debiteras som nya annonsperioder. Om ditt objekt inte blir sålt betalar du ingen provisionsavgift. De frivilliga tillvalen debiteras per annonsperiod, oavsett om ditt objekt blivit sålt eller inte.Annonser där säljaren valt att donera beloppet till en organisation/välgörenhet räknas inte med i antalet upplagda, dessa annonser är alltså helt exkluderade från osåltavgiften. Kategorier med 3 kr är de nedan, övriga kategorier har 10 kr osåltavgift:   Antikt &amp; Design   Frimärken   Konst   Mynt &amp; Sedlar   Samlarsaker   Vykort &amp; Bilder   Böcker &amp; Tidningar   DVD &amp; Videofilmer   Musik   Trädgård Skatt och deklarationTänk på att din försäljning kan innebära deklarationsskyldighet. Det åligger varje säljare att själv, hos berörd myndighet, kontrollera om man omfattas av denna skyldighet. Du hittar vår prislista här###"
"Hur skapar jag en butiksannons? (Sello)

###

"," För att skapa en butiksannons behöver du logga in på säljverktyget Sello.För att aktivera en artikel i din Tradera-butik klickar du på  krysset vid kolumnen ”Aktiv”. När krysset ändras till en grön bock har det blivit en butiksannons som är aktiv på Tradera.Vill du skapa auktioner eller fastpris-annonser utgår du från dina varor i lagret. Oavsett om det är en artikel som är aktiv i Tradera-butiken eller inte går det bra att göra en auktion/fastprisannons av den.Till vänster i lagret finns en ruta vid alla artiklar, bocka i den för de varor du vill göra till auktioner. Klicka därefter på ”Skapa auktion”. Nu ligger varorna i utkorgen, gå dit genom att klicka på ”Utkorgen”. Här finns en rad olika möjligheter. Välj vilken typ av annons det ska vara, sätt ett pris och välj datum. Därefter är du redo att publicera auktionerna/fastprisannonserna.När du gör en auktion eller fastprisannons av en artikel minskar lagersaldot automatiskt.###"
"Hur aktiverar jag butiksannonser på Tradera? (Sello)

###

"," För att aktivera en artikel i din Tradera-butik klickar du på  krysset vid kolumnen ”Aktiv”. När krysset ändras till en grön bock har det blivit en butiksannons som är aktiv på Tradera.Vill du skapa auktioner eller fastpris-annonser utgår du från dina varor i lagret. Oavsett om det är en artikel som är aktiv i Tradera-butiken eller inte går det bra att göra en auktion/fastprisannons av den.Till vänster i lagret finns en ruta vid alla artiklar, bocka i den för de varor du vill göra till auktioner. Klicka därefter på ”Skapa auktion”. Nu ligger varorna i utkorgen, gå dit genom att klicka på ”Utkorgen”. Här finns en rad olika möjligheter. Välj vilken typ av annons det ska vara, sätt ett pris och välj datum. Därefter är du redo att publicera auktionerna/fastprisannonserna.När du gör en auktion eller fastprisannons av en artikel minskar lagersaldot automatiskt.###"
"Vad kostar det att sälja på Tradera som företag?

###

"," ProvisionsavgifterDatorer &amp; Tillbehör • Foto, Kameror &amp; Optik • Hemelektronik • Mobiltelefoni &amp; Tele • TV-spel &amp; Dataspel5 % av försäljningsprisetMinst 2,40 krMax 160 kr Antik &amp; Design • Bygg &amp; Verktyg • Böcker &amp; Tidningar • DVD &amp; Videofilmer • Fordon, Båtar &amp; Delar • Frimärken • Hem &amp; Hushåll • Konst • Musik • Mynt &amp; Sedlar • Samlarsaker • Vykort &amp; Bilder • Accessoarer • Barnkläder &amp; Barnskor • Klockor • Kläder • Skor • Skönhetsvård • Smycken &amp; Ädelstenar • Sport &amp; Fritid • Övrigt • Hobby • Leksaker &amp; Barnartiklar • Biljetter &amp; Resor• Domännamn8 % av försäljningsprisetMinst 2,40 krMax 160 kr TillvalFör att ytterligare lyfta fram objektet finns ett antal tillval att välja bland vid skapandet av en annons. Tillvalen debiteras per annonsperiod, oavsett om objektet blivit sålt eller inte. Omstartade annonser och automatiska repetitioner debiteras som nya annonsperioder.Highlight 12 SEKRank up 36 SEKReservationspris 32 SEKEgenvald sluttid 8 SEK  OsåltavgiftOm du publicerar fler än 100 annonser under en och samma faktureringsperiod (första till sista i månaden) debiteras mellan 2,40 kr och 8 kronor (exkl. moms) per osåld annons beroende på kategori från och med annons nummer 101. Omstartade annonser och automatiska repetitioner räknas som nya annonsperioder.Kategorier med 2,40 kr (exkl. moms) är de nedan, övriga kategorier har 8 kr Osåltavgift:   Antik &amp; Design   Frimärken   Konst   Mynt &amp; Sedlar   Samlarsaker   Vykort &amp; Bilder   Böcker &amp; Tidningar   DVD &amp; Videofilmer   MusikVill du slippa osåltavgifter? Klicka här för mer information om vad det innebär att skaffa en butik på Tradera.###"
"Vanliga frågor från nya säljare på Tradera

###

"," Behöver jag vara medlem för att sälja på Tradera?Ja, för ökad säkerhet behöver både köpare och säljare vara medlemmar för att köpa och sälja. Medlem blir du här.Vilket fraktalternativ ska jag välja?Vi rekommenderar alltid spårbar försändelse vid dyrare varor. Olika speditörer har olika försäkringsbelopp och villkor kring försändelsen. Du hittar mer information i vår fraktguide.Kan jag sälja utomlands?Ja, försäljning inom EU är lika enkelt som att sälja inom sverige när du använder ett av våra integrerade fraktalternativ. Vid försäljning utanför EU så behöver du ordna frakten utanför Tradera, tänk på att tullavgifter då kan tillkomma.Hur kontaktar jag budgivare?Enklaste sättet att komma i kontakt med budgivaren är genom Traderameddelanden. Du hittar funktionen inne på annonsen genom att klicka på kontakta budgivare.Hur hittar jag information om köparen?Du kan gå in på köparens profil genom att klicka på dennes alias, där kan du se tidigare omdömen. Kontaktuppgifter, leveransadress och annan nyttig information får du i vinnarmailet från Tradera när någon vunnit budgivningen.Vad kostar det att annonsera på Tradera?De första 100 annonsera per månad kostar inget att lägga upp, du betalar endast om varan blir såld samt för eventuella tillval. Efter de första 100 annonserna så kan du bli debiterad en osåltavgift ifall varan inte blir såld. Du hittar hela vår prislista här.När ska provisionsavgiften betalas?Provisionsavgiften dras automatiskt när vi betalar ut summan av försäljningen. Detta gäller för alla betalsätt förutom Swish. Du kan läsa mer om nettoutbetalning här.###"
"Vad är osåltavgift?

###

"," Osåltavgiften debiteras om du publicerar fler än 100 annonser under en och samma kalendermånad. Har du publicerat fler än 100 annonser under en kalendermånad kommer en osåltavgift debiteras för varje osåld annons från och med annons 101.Osåltavgiften beräknas på annonser som startas under en månad och inte från dess slutdatum.Annonser där säljaren valt att donera beloppet till en organisation/välgörenhet räknas inte med i antalet upplagda, dessa annonser är alltså helt exkluderade från osåltavgiften.Exempel: Du lägger först upp 100 annonser i januari. Vissa av dessa säljs, andra inte. Du lägger sedan upp 10 annonser till, varav 3 st inte säljs. Dessa 3, som lades upp efter de initiala 100 annonserna, debiteras då med 3-10 kr vardera beroende på vilken kategori varan har lagts upp i. Avgifterna finns med på nästkommande faktura, som kommer i början av februari. Se hela vår prislista här.###"
"Vilka butiksstorlekar finns och vad är priset för de olika butikerna?

###

"," Prislista för butikerStorlekAntal butiksannonserPris per månad, ett års bindningstidPris per månad, utan bindningstidMinimiprovisionXS1-50245 kr295 kr2,40 krS51-500495 kr545 kr2,40 krM501-2 000995 kr1 145 kr2,40 krL2 001-5 0001 695 kr1 845 kr2,40 kr Prislista för specialbutikerNamnAntal butiksannonserPris per månad, ett års bindningstidPris per månad, utan bindningstidMinimiprovisionSamlarbutik**10 000235 kr275 kr2,40 krMiniprisbutik***10 000155 kr195 krProvisionsavgift beroende på kategori (ingen minimiprovision) **Endast butiksannonser med begagnade varor eller oanvända varor av samlarkaraktär som inte går att köpa nya idag. Dessa behöver i annonserna anges som begagnade.***Endast butiksannonser med varor som säljs för 30 kr eller under. För butiksannonser med varor som säljs för 31 kr eller över är provisionen 12 % i Miniprisbutiken.För samtliga butiker gäller en månads uppsägningstid.Alla avgifter att betala till Tradera är angivna exklusive moms.Är du privatperson och är intresserad av en butik, läs mer här. Vill du veta mer? Kontakta vår kundservice så hjälper vi dig.###"
"Paynova FAQ

###

"," Vad är det för fakturaavgift?- För faktura ingår köparskydd med 5% av totalbelopp, minimum 5 kr max 750 kr- Vid delbetalning tillkommer 29 kr i aviavgift per månad samt eventuell uppläggningsavgift och räntaHur lång tid har jag på mig att betala?- 14 dagar för direktfaktura / 30 dagar för delbetalningsfakturaVarför får jag inte betala med faktura?- Vid köp mot faktura utförs en kreditkontroll där vissa krav skall uppfyllas i förhållande till den köpesumma du önskar handla för.Varför ligger det kvar ett belopp på fakturan trots att jag betalt?- Det beror på att vi erhållit betalning för sent och en påminnelsefaktura med nytt belopp har ställts ut innan vi tog emot betalning- Du ser vad som är kvar att betala på mina fakturor: tradera.paynova.sePaynova finns inte som alternativ på en annons jag vill köpa? Paynova finns endast på annonser som uppfyller dessa kriterier- Säljaren har Traderabetalning- Beloppet är max 30 000Varför kommer det ytterligare delbetalningsfakturor när jag betalt allt på tidigare faktura?- Önskar du avsluta din delbetalning i förtid behöver man begära ut en slutfaktura, kontakta Paynova så löser dom detVad händer med förfallodatum om min faktura ändras?- Förfallodatum justeras med ytterligare betaldagarVad ska jag göra med min faktura om en del av beloppet skall krediteras?- Om en del av beloppet på fakturan krediteras kommer en uppdaterad faktura med nya beloppet sändas till digHur får jag tillbaka mina pengar vid en återbetalning?- Ett mail med instruktioner skickas och du blir hänvisad till ett återbetalningsformulär, utbetalning sker inom 10 dagarVarför får jag mejl om återbetalning när jag valde att betala hela beloppet på en gång på min delbetalning?- Du kan enbart betala aviserat belopp på fakturan. Betalar du ett högre belopp kommer återbetalning att skapas. Vill du avsluta din delbetalning behöver du kontakta Paynova så de kan ställa ut en slutfakturaVad gör jag om jag inte är nöjd med min produkt som jag köpt på faktura?- Börja med att kontakta säljaren för lösning. Om det inte löser sig kan du registrera en tvist på Mitt TraderaOBS! Det går endast att verifiera sig med Mobilt BankID, BankID på fil eller dosa fungerar inte med tjänsten.###"
"Hur fungerar sorteringen ""bästa träff""

###

"," Desto fler av dessa kriterier din annons uppfyller desto högre upp hamnar den i sökningen bästa träff.Om sökningen liknar rubriken på annonsenBeskrivning med flera parametrar som beskriver varanExempelvis ger en annons med beskrivningen ""Hugo Boss, Skjorta, Strl: L, Vit"" en högre ranking än ""Vit skjorta""Att du som säljare har en hög säljbedömningGratis frakt ger en högre rankingNär auktionen närmar sig sluttid så ökar rankingDet frivilliga och kostnadsbelagda tillvalet Rank-up ökar en annons rankingButikers utvalda objekt påverkar också annonsens ranking positivtAndra tips för att få din vara såld En tydlig produktbeskrivning och rubrikEn bra första bild i annonsen resulterar ofta i fler intresserade budgivareTydliga bilder från flera vinklar###"
"Insamlingar - Hur stor del av intäkterna från annonsen går till insamlingen?

###

"," Vid försäljning till välgörenhet så tar vi på Tradera ut vår vanliga provisionsavgift på 10% och Pennybridge's förmedlingsavgift är på 5% av försäljningsbeloppet.Båda dessa avgifter har ett max tak på 200kr.Exempel på vad detta innebär:- Varan säljs inte - Inga provisions eller förmedlingsavgifter- Varan säljs för 100 kr. Traderas provision: 10 kr + Pennybridge's förmedlingsavgift: 4,5 kr = 14,5 kr. Insamlingen får 85,5 kr- Varan säljs för 1000 kr.  Traderas provision: 100 kr + Pennybridge's förmedlingsavgift: 45 kr = 145 kr. Insamlingen får 855 kr- Varan säljs för 10 000 kr. Traderas provision: 200 kr + Pennybridge's förmedlingsavgift: 200 kr = 400 kr. Insamlingen får 9600 kr- Varan säljs för 100 000 kr. Traderas provision: 200 kr + Pennybridge's förmedlingsavgift:  200 kr = 400 kr. Insamlingen får 99 600 kr- Varan säljs för 1 000 000 kr. Traderas provision: 200 kr + Pennybridge's förmedlingsavgift: 200 kr = 400 kr. Insamlingen får 999 600 krHur blir det med fraktkostnaden?Fraktkostnaden fungerar precis som en vanligt auktion. Köparen betalar frakten och säljaren får pengarna för frakten insatt på sitt konto.Detta innebär att du kommer kunna samfrakta välgörenhetsauktioner med vanliga auktioner utan något extra arbete för dig som säljer.Kan man använda tillval på välgörenhetsauktioner?Ja det går att använda olika tillval på välgörenhetsauktioner.Kostnaden för eventuella tillval kommer att debiteras på säljarens faktura.###"
"Hur fungerar reservationspris?

###

"," Reservationspris är den lägsta summa du kan tänka dig att sälja en auktion för och det är ett pris som är dolt för budgivare tills någon bjuder över det. Skulle inget bud nå upp till reservationspriset så avslutas auktionen utan vinnare. Reservationspriset kostar 40 kr att använda, och rekommenderas främst att användas när du säljer dyrare varor.###"
"Hur beräknar jag fraktpriset?

###

", Du kan beräkna frakten genom vår fraktkalkylator. Du hittar den här. ###
"Köparen är inte nöjd med varan. Vad ska jag göra?

###

", Som köpare har man rätt till en vara som överensstämmer med vad som utlovats på förhand. Har du som säljare levererat detta är du inte skyldig att godta ett återköp.Ta kontakt med köparen och ta reda på vad köparen inte är nöjd med. För en dialog med köparen och kom fram till en gemensam lösning som passar båda. ###
"Hur fungerar samfrakt?

###

"," Samfrakts funktionen på Tradera gör det lättare för säljare att skicka fler varor till samma köpare genom att kombinera flera vunna auktioner, fastprisannonser och butiksannonser i en och samma order. Säljaren kan under inställningar avgöra om ordern ska vara öppen i 1, 3 eller 7 dagar innan det är dags för köparen att betala. Köparen kan stänga ordern tidigare genom att klicka på knappen begär samfraktspris vilket notifierar säljaren om att köparen handlat klart och att det är dags att lägga in fraktkostnaden.För att samfrakt ska fungera så behöver samtliga varor ha samma fraktalternativ, det går exempelvis inte att få en annons som har DHL som enda fraktsätt i samma order som en annons som endast har DB Schenker som fraktsätt. Du kan läsa mer om hur samfrakt fungerar för säljare här.Eller klicka här för att läsa mer om hur det fungerar för köparen.###"
"Varför har bud försvunnit på min annons?

###

", På Tradera värnar vi om dig och tar bort bud från oseriösa köpare. Att ett bud tagits bort kan exempelvis bero på att budgivarens konto av olika anledningar tillfälligt stängts ner.###
"Får jag sälja en kopia?

###

"," Det är ett straffbart lagbrott att handla med kopior och förfalskningar, därför arbetar vi hela tiden med att förhindra försäljningen av dessa objekt. Vi samarbetar med ansvariga rättighetsinnehavare i arbetet mot dessa lagbrott. Genom att annonsera ut en kopia eller förfalskning gör du dig skyldig till detta brott samt bryter mot Traderas regler. Läs mer här!###"
"Jag misstänker ett bedrägeri. Vad ska jag göra?

###

"," Om du upptäcker ett misstänkt bedrägeri på vår marknadsplats, klicka på ""Anmäl till granskning"" under annonsen. Välj sedan orsaken ""Misstänkt bedrägeri"" och beskriv vad dina misstankar grundar sig i. Upplever du att någon obehörig haft åtkomst till ditt konto, kontakta vår kundservice så hjälper vi dig. Du kan även kontakta oss på abuse@tradera.com med dina kontouppgifter och alias. Kundservicefrågor som inkommer via denna mejl kommer inte att besvaras. ###"
"Vad ska jag tänka på när jag lämnar omdöme?

###

"," KöpareLämna ett ärligt och uppriktigt omdöme. Tänk på att omdömet din motpart får kommer att påverka dennes framtida affärer.Tänk på att bedöma affären utifrån vad säljaren lovat. Om du lämnar en detaljerad bedömning, en nöjd köpare lämnar oftast femmor i betyg, så tänk på att bedöma affären efter objektsbeskrivningen och övriga upplysningar säljaren givit.Lämna inte ett negativt omdöme innan du tagit kontakt med säljaren. Negativa omdömen är generellt sällsynta på Tradera. Dessa lämnas främst när någonting gått riktigt snett i affären, t.ex. om du inte fick din vara eller att varan inte alls stämde överens med säljarens beskrivning. Att kontakta sin motpart innan man lämnar ett negativt omdöme är av största vikt, ofta kan man tillsammans hitta en lösning.SäljareLämna ett ärligt och uppriktigt omdöme. Tänk på att omdömet din motpart får kommer att påverka dennes framtida affärer.Bedömningen av köparens betalningstid. Ha i åtanke att köparen inte kan betala innan du givit denne dina betalningsuppgifter. Bedöm därför betalningstiden utifrån hur lång tid det tog från när du gav uppgifterna kontra när du fick betalt.Lämna inte ett negativt omdöme innan du tagit kontakt med köparen. Negativa omdömen är generellt sällsynta på Tradera. Dessa lämnas främst när någonting gått riktigt snett i affären, t.ex. om du inte fick betalt eller någon kontakt alls med köparen. Får du ingen kontakt per e-post? Testa gärna att ringa köparen, ofta ger det bra resultat!###"
"Vad finns det för regler för omdömen?

###

"," Tradera har vissa regler kring vad man får skriva i ett omdöme. Följande får inte skrivas i omdömen och kan resultera i att ett omdöme tas bort:Person- eller kontaktuppgifterHets mot folkgruppPornografiskt materialLänkar, bilder eller skriptReklam för konkurrerande verksamhetManipulation av omdömespoängDet är inte tillåtet att, via eget eller närståendes konto, samla på sig falska omdömen och betyg i syfte att kringgå begränsningar, eller för att påverka ens trovärdighet som säljare. Att genomföra falska köp i syfte att sabotera en säljares omdömespoäng är inte heller tillåtet.###"
"Hur fungerar omdömessystemet?

###

", Omdömessystemet finns för att skapa trygghet när du köper och säljer hos oss. Efter varje avslutad affär har både säljare och köpare möjlighet att lämna omdöme på sin motpart. Detta gör det möjligt för andra medlemmar att se hur man skött sina tidigare affärer. Att ha en bra omdömesstatistik ökar dina chanser att få dina objekt sålda!När du lämnar ett omdöme väljer du mellan ett positivt eller ett negativt omdöme. Du har också möjlighet att skriva en kommentar (upp till 80 tecken) där du kan beskriva hur du upplevde affären.Att behöva lämna ett negativt omdöme är väldigt sällsynt och görs i de fall affären slutade väldigt dåligt. Exempelvis om du inte fick kontakt/betalt med din köpare eller att du som köpare inte fick din vara.Ett omdöme/kommentar är en enskild medlems personliga åsikt. Den återspeglar inte alltid verkligheten på ett objektivt sätt.###
"Kan jag ändra ett omdöme som jag lämnat?

###

"," Varje medlem är ansvarig för det omdöme som de har lämnat. Ett lämnat omdöme går inte att ändra, varken omdömets karaktär eller omdömets text. Det kan däremot vara möjligt att ta bort omdömet helt och hållet, läs mer under frågan ""Hur tar jag bort ett omdöme som jag lämnat?"" ###"
"Jag får felmeddelande när jag försöker skicka min fråga till säljaren

###

"," Vi har begränsat vissa tecken för att motverka att funktionen missbrukas. Det allra vanligaste felet är att det anges ett snedstreck ( / ). Kontrollera annars om det kan vara några andra otillåtna tecken i ditt meddelande.Det som är tillåtet att ange i din fråga är följande:Alla bokstäver (A-Ö)Alla siffror (0-9)Följande tecken: ” ‘ ´ ` ! ? – , . : ) (Vanliga tecken som anges som inte är tillåtna: / % + @ ½ = *###"
"Hur söker jag på sajten?

###

"," Använd Traderas sökfunktion som du hittar längst upp på sidan:Skriv in ett eller flera sökord i fältet längst upp.Klicka på förstoringsglaset till höger.När du genomfört sökningen får fram en sida med de annonser som matchade din sökning.Hittar du inte vad du söker? Testa att göra en ny sökning alternativt att använda filtren på vänster sida.Proffstips! Plustecken ( + ) Om du vill söka på två ord där båda orden måste finnas med i rubriken, men kan vara i olika ordning eller med andra ord mellan söker man med plustecken: Tex +Polarn +Pyret – Då får du bara träffar där bägge orden är med.Minustecken ( – ) Om du vill att vissa ord inte ska få vara med i sökningen använder du minustecken. Tex om du vill söka på något som heter Polarn, men som inte har med polarn &amp; pyret att göra så kan du söka: Polarn –pyretAsterisk ( * ) Används för att hitta ord som börjar på, tex Pol*, du får då träffar på ord som har Polarn, Polare, Polis, Polka etc.Citationstecken ( ” ) Används för att söka på exakt fras. T.ex. en sökning på ”polarn och pyret” hittar bara annonser där rubriken innehåller ”polarn och pyret” och därmed inte annonser där säljaren skrivit polarn &amp; pyret.###"
"Hur kan jag komma i kontakt med säljaren?

###

"," Inne på varje aktiv annons finns det en länk som heter ”Ställ en fråga till säljaren”. Denna kan du använda för att fråga säljaren saker innan annonsen slutar. Har du redan köpt en vara av säljaren kan du gå till mina köp och klicka på ""mer"" vid rätt annons. Om du klickar på orderbekräftelse hittar du alla uppgifter till säljaren. ###"
"Vad är ett reservationspris?

###

"," När en säljare skapar en auktion finns det möjlighet att välja tillvalet Reservationspris. Reservationspris innebär att budgivningen behöver komma upp i en viss nivå som säljaren bestämt innan det blir ett vinnande bud. Om budgivningen inte når upp i det belopp säljaren valt så vinner högste budgivaren inte annonsen.Reservationspriset är alltid dolt för budgivarna, det är endast säljaren som kan se det. Som budgivare ser man däremot texten ”Reservationspris ej uppnått” om så är fallet.###"
"Vad är ett vinnarmejl?

###

"," När en annons avslutas med en vinnare får både säljaren och köparen ett vinnarmejl från Tradera. Vinnarmejlet innehåller bland annat information om annonsen, slutpris, fraktkostnad och båda parters kontaktuppgifter. Mejlet skickas automatiskt ut av oss direkt efter annonsavslut.###"
"Hur fungerar nedräkningen på Tradera?

###

"," När en auktion har mindre än en timme kvar börjar minuter och sekunder visas på objektssidan.Om du står kvar på sidan en längre tid rekommenderar vi att du uppdaterar sidan med jämna mellanrum, främst mot slutet av auktionen, för att säkerställa att du ser den korrekta tiden. ###"
"Vad är ett autobud?

###

"," Ett autobud är ett bud som höjs per automatik av Tradera i samband med att andra medlemmar bjuder på annonsen. Om du har lagt ett autobud höjs ditt bud automatiskt varje gång du blir överbjuden tills autobudet har uppnåtts.Om säljaren har lagt in ett reservationspris som är lägre än ditt autobud kommer ditt autobud automatiskt att gå upp till reservationspriset.För att lägga ett autobud går du till önskad annons, skriver in den summa du är villig att betala i budrutan, och klickar på ”Lägg bud”.Vill du sänka ditt autobud skriver du in önskat belopp i budrutan. Du kan sänka till det högsta budet som ligger.###"
"Säljaren vägrar att sälja varan trots att jag vunnit auktionen, vad ska jag göra?

###

"," Ett köp är bindande, och då du vunnit är säljaren bunden att sälja varan till dig. Det bästa är alltid att ta kontakt med säljaren om något skulle gå snett; en öppen dialog är ofta vägen till en bra lösning.Skulle problemet mot förmodan kvarstå kan du kontakta vår kundservice, så kan vi förmedla en kontakt er emellan och nå bästa möjliga lösning.###"
"Hur fungerar budstegen?

###

"," Vår budstege baseras på det högsta budet på annonsen.Exempelvis höjs budet med 1 kr om det nuvarande högsta budet är mellan 1-19 kr, 5 kr om det nuvarande högsta budet är mellan 20-99 kr.Nuvarande budMinsta ökning1-19kr1kr20-99kr5kr100-199kr10kr200-399kr15kr400-999kr20kr1000-2499kr30kr2500-3999kr50kr4000-5999kr100kr6000-9999kr200kr10 000kr500kr Du hittar mer information om budgivning här.###"
"När aktiveras mitt nyregistrerade konto?

###

", I de allra flesta fall aktiveras ditt konto direkt men det kan det i vissa fall ta upp till 24 timmar för att verifiera och aktivera ditt konto. Du får ett mejl från oss när din registrering är godkänd och du kan logga in. ###
"Hur skapar jag ett konto om jag är bosatt utanför Sverige?

###

"," Om du är folkbokförd i exempelvis Norge, Danmark eller Finland skapar du ett konto genom att klicka här eller  på ""Sign up here"". Vi kan komma att granska din registrering manuellt. Detta kommer i så fall att ske inom 24 timmar, men går oftast mycket fortare än så. Så snart ditt konto är godkänt får du ett e-postmeddelande med ett lösenord skickat till dig. Har du inte fått e-postmeddelandet och det har gått mer än 24 timmar, kontakta vår kundservice så hjälper vi dig. ###"
"Hur skapar jag ett utländskt konto?

###

"," Klicka här för att skapa ett konto.  Fyll i alla uppgifter och tryck på Sign up.  För att kunna sälja med ett utländskt konto behöver du genomgå en verifiering via Zignsec, denna verifiering påbörjas med automatik när du försöker publicera en annons. ###"
"Jag kan inte registrera mig

###

", Det kan vara av flera anledningar du inte kan skapa ett konto på Tradera. Till exempel  att vi har 18-årsgräns för att vara medlem; att du har utvandrat och försöker skapa ett konto med ditt svenska personnummer eller att du befinner dig i ett annat land än Sverige.###
"Visas mitt namn för alla på Tradera?

###

"," Nej, ditt namn visas enbart för den du gör en affär med. Säljer du en vara kommer köparen att få ditt registrerade namn och din adress. Utåt på sajten syns enbart ditt alias.###"
